segment_id,coordinates,segment_length,streets
9000006445,"[[[13.406259894, 52.532285303], [13.406728094, 52.532088803]]]",0.07576514138406487,Choriner Straße
9000006539,"[[[13.408172594, 52.530454203], [13.408873494, 52.531274003]]]",0.09541494211224437,Christinenstraße
9000006614,"[[[13.442522794, 52.472323803], [13.442516094, 52.472366603], [13.442534994, 52.472405903], [13.442643394, 52.472500703], [13.442700994, 52.472551203], [13.442724094, 52.472571703], [13.442814194, 52.472651403], [13.442890694, 52.472719103], [13.442919694, 52.472744803], [13.443015294, 52.472828903], [13.443085694, 52.472890803], [13.443187494, 52.472982903], [13.443438994, 52.473210403], [13.443456094, 52.473225903], [13.443483794, 52.473256003], [13.443502394, 52.473283203], [13.443547694, 52.473371903], [13.443569394, 52.473423603], [13.443584494, 52.473477503], [13.443605194, 52.473563003], [13.443617294, 52.473638703], [13.443622994, 52.473712603]]]",0.05504185920501724,Kirchhofstraße
9000006667,"[[[13.414287094, 52.505809103], [13.414091094, 52.506025203]]]",0.059200962017843715,Dresdener Straße
9000006720,"[[[13.477400794, 52.500472803], [13.478826194, 52.499820603]]]",0.16777821178083271,Hauptstraße
9000006732,"[[[13.479312994, 52.502884803], [13.480550394, 52.503088303]]]",0.14818849047250196,Türrschmidtstraße
9000006738,"[[[13.477592994, 52.501726803], [13.477692594, 52.501734303], [13.477737294, 52.501737703], [13.478367794, 52.501785503], [13.478926094, 52.501825403]]]",0.05613215175707457,Nöldnerstraße
9000006798,"[[[13.468102894, 52.515843903], [13.468016694, 52.515858903], [13.467047894, 52.516027303], [13.466471694, 52.516129103], [13.466356094, 52.516150903]]]",0.055859443934398935,Voigtstraße
9000006829,"[[[13.299442194, 52.513474703], [13.299724294, 52.512270803], [13.299948294, 52.511314603]]]",0.06337667363642334,Fritschestraße
9000006878,"[[[13.404834494, 52.535507603], [13.404647594, 52.535322903]]]",0.05883799835152639,Griebenowstraße
9000007083,"[[[13.456517394, 52.536965903], [13.456555894, 52.536943903], [13.456800194, 52.536690303]]]",0.055199853389431605,Stedingerweg
9000007271,"[[[13.390916394, 52.492415503], [13.390773294, 52.492443203], [13.390363794, 52.492522403], [13.389446194, 52.492700003], [13.388681294, 52.492849603], [13.388444994, 52.492895903], [13.388415994, 52.492899403], [13.388157894, 52.492948103], [13.388077394, 52.492964703], [13.387890894, 52.492998503]]]",0.05730223726344127,Nostitzstraße
9000007365,"[[[13.410930094, 52.505774403], [13.411165694, 52.505459503], [13.411464394, 52.505052303], [13.411502694, 52.505014603], [13.411566594, 52.504951703]]]",0.06096028238349826,Sebastianstraße
9000007661,"[[[13.416832994, 52.464759203], [13.416994394, 52.464774303], [13.417222394, 52.464795803], [13.417425594, 52.464814903], [13.417706794, 52.464841303]]]",0.057894624980510574,Oberlandstraße
9000007680,"[[[13.387015994, 52.491348403], [13.387189594, 52.491752803], [13.387317894, 52.492029703], [13.387421194, 52.492252503], [13.387486194, 52.492382403], [13.387559294, 52.492487403], [13.387584694, 52.492520503]]]",0.05833585373578489,Mehringdamm
9000007879,"[[[13.387898594, 52.483615903], [13.387981494, 52.483695603], [13.388046294, 52.483775003], [13.388088994, 52.483852403], [13.388128594, 52.483952203], [13.388144494, 52.484023003], [13.388147894, 52.484117503], [13.388154294, 52.484228703], [13.388158994, 52.484277303]]]",0.05581577379198422,Platz der Luftbrücke
9000007918,"[[[13.456800194, 52.536690303], [13.456862494, 52.536558703], [13.457028594, 52.535705303]]]",0.055467818035124156,Stedingerweg
9000007929,"[[[13.380703594, 52.532456703], [13.381485094, 52.531832303]]]",0.10286888671565902,Chausseestraße
9000007954,"[[[13.387936094, 52.484426003], [13.388170194, 52.484383503]]]",0.060893547790237104,Platz der Luftbrücke
9000008121,"[[[13.317585994, 52.463943903], [13.318654294, 52.463564803], [13.318705294, 52.463546703], [13.319460294, 52.463278803], [13.319516294, 52.463258903], [13.319667694, 52.463205203]]]",0.1309318007882028,Schildhornstraße
9000008123,"[[[13.469632494, 52.514141803], [13.470613694, 52.514043203], [13.470728094, 52.514031703]]]",0.1221971218730756,Finowstraße
9000008361,"[[[13.533325094, 52.478168703], [13.532824694, 52.478391703], [13.532603094, 52.478491503]]]",0.07824820245886827,Stolzenfelsstraße
